,Unnamed: 0,тема,текст
273,273,торцовочная пила,"Добрый день! Интересует аренда торцовочной пилы, рубанка. Какая стоимость?"
274,274,степлер,Здравствуйте! Можно ли у вас арендовать пневмостеплер?
275,275,компрессор,Здравствуйте! Можно ли у вас арендовать электрический компрессор?
276,276,дрель-шуруповерт,"Добрый вечер! Работаете? Срочно нужна дрель, в которую зайдет сверло по металу на 12"
277,277,краскопульт,Здравствуйте  Интересует аренда краскопульта  Нужно покрасить потолок с вентиляцией 200кв  Какие варианты есть?   Владимир  89531790859
278,278,перфоратор,Здравствуйте есть перфоратор или ударная дрель ?
279,279,дрель-шуруповерт,"Здравствуйте, сколько стоит аренда дрели? На какой срок? Идут ли сверла в комплекте?"
280,280,реноватор,"Добрый день! Подскажите, пожалуйста, у вас есть в наличии реноватор?"
281,281,перфоратор,Здравствуйте  Перфоратор есть возможность взять в аренду сегодня и завтра вернуть?
282,282,нет такого инструмента,"здравствуйте, сколько стоит арендовать электропилу на два дня?"
283,283,рейсмус,Добрый день. Интересует аренда рейсмуса. Какая рабочая ширина?
284,284,пушка газовая,Здравствуйте. Газовую тепловую пушку завтра можно арендовать на пару суток?
285,285,газовый баллон,Здравствуйте. Баллон газовый завтра можно арендовать на пару суток?
286,286,тачка,Тачка нужна
287,287,виброплита,нужна трамбовка
288,288,пила цепная аккумуляторная,"Здравствуйте, подскажите, есть ли в ассортименте вашего инструмента аккумуляторная цепная пила?"
289,289,нейлер пневматический,Здравствуйте! Сколько стоит аренда пневматического степлера?
290,290,не вопрос клиента,Добрый  вечер
291,291,не вопрос клиента,"Здравствуйте, тепловые пушки есть в наличии?"
292,292,лестница,"Здравствуйте, нужна высокая стремянка , метров 5"
293,293,заклепочник,"Здравствуйте, есть ли у вас заклепочник под каленые заклепки 8мм ?"
294,294,пила ленточная,Добрый день! У Вас есть ленточная пила в аренду?
295,295,виброплита,"Добрый день ,сколько будет стоит вибро плита на сутки с доставкой?"
296,296,лобзик,"Здравствуйте  нужен электролобзик на сутки, сегодня можно взять в аренду,"
297,297,не вопрос клиента,Добрый вечер
298,298,сварочный аппарат,Нужен инвертор- сварочник.Чё-почём(?!) Привет.
299,299,торцовочная пила,Можно арендовать торцовочную пилу? Стоимость аренды?
300,300,лестница,Здравствуйте! Какая у Вас самая высокая стремянка?
301,301,сварочный полуавтомат,"Здравствуйте, сварочный полуавтомат нужен , дня на 4 , что по цене ?"
302,302,пила погружная,"Здравствуйте! Подскажите, циркулярная пила(распилить столешницу кухонную) есть в наличии? И какая стоимость?"
303,303,виброплита,"Добрый ночи, интересует виброплита, трамбовать 20-30см песок щебень, какой виброплита нужен?  аренда с доставкой ул Сортировочная-Московская"
304,304,прогрев бетона,"Добрый ночи, интересует  оборудование для прогрева бетона,  аренда с доставкой ул Сортировочная-Московская"
305,305,лазерный уровень,"Добрый ночи, интересует лазерный невилер, аренда с доставкой ул Сортировочная-Московская"
306,306,культиватор,Здравствуйте. Культиватор есть у вас в аренду?
307,307,перфоратор,Здравствуйте. Сегодня работаете? Перфоратор есть?
308,308,не вопрос клиента,Добрый вечер
309,309,перфоратор,"Здравствуйте! Подскажите пожалуйста, есть ли у вас перфоратор и сколько он стоит в сутки?"
310,310,вопрос по режиму работы,Вы сегодня работаете?
311,311,торцовочная пила,Добрый день! Подскажите пожалуйста есть ли у вас в аернду торцовочная пила ?
312,312,дрель-шуруповерт,добрый вечер! сегодня возможно арендовать дрель?
313,313,реноватор,"Добрый день. Необходимо арендовать реноватор. Подскажите по наличию. Еще подскажите, идет ли в комплекте оснастка?"
314,314,пылесос,Здравствуйте. Сколько стоит аренда строительного пылесоса?
315,315,реноватор,Здравствуйте. У вас есть реноватор?
316,316,лестница,"Здравствуйте. Вы сегодня работаете? Если да, то у вас есть стремянка на 7 ступеней (1.48м площадка) в аренду? И сколько это по стоимости на сутки"
317,317,миксер,"Здравствуйте! Можно на завтра забронировать строительный миксер ручной? Скорее всего на сутки, т.к. до 18-00 не успею вернуть."
318,318,торцовочная пила,Добрый день мне нужна торцовка для того чтобы отпилить плинтус из полистирола ( ударопрочный)
319,319,не вопрос клиента,Здравствуйте
320,320,сварочный полуавтомат,"Здравствуйте! Подскажите, у вас сварочный полуавтомат в аренду на сутки можно взять?"
321,321,нет такого инструмента,"Добрый день, подскажите пожалуйста есть ли у вас ударный ключ на 30мм"
322,322,пылесос,Здравствуйте!  Нужен в аренду строительный пылесос. Сколько за сутки? И сколько будет стоить взять на месяц?
323,323,не вопрос клиента,Здравствуйте
324,324,лобзик,"Здравствуйте, нужен электрический лобзик на сегодня, сколько будет стоить на 1 сутки?"
325,325,пылесос,"Здравствуйте, нужен мощный строительный пылесос. У нас есть обычные строительный пылесос с 1 турбиной, но он не справляется. Задача такая: по площади всей квартиры убрали плитку и остался мусор, мы сколько смогли прошли щетками, и нужно привести пол в порядок."
326,326,дрель-шуруповерт,"Здравствуйте, сколько стоит аренда шуруповерта самого простого на сегодня"
327,327,пила дисковая,Дд Подскажите пожалуйста стоимость аренды циркулярной ручной пилы И второе: торцовочной
328,328,торцовочная пила,"нужна торцовочная пила с протяжкой, с глубиной пропила не менее 90 см. Есть такое? стоимость аренды?"
329,329,перфоратор,Здравствуйте. Сколько стоит аренда перфоратора. Нужно сделать 8 отверстий в бетоне. Аренда на день
330,330,реноватор,Здравствуйте. Ренноватор сдаете в аренду? Стоимость? Где можно забрать?
331,331,не вопрос клиента,Добрый вечер!
332,332,не вопрос клиента,Добрый день! С прайсом можно ознакомиться?
333,333,перфоратор,"Здравствуйте! Подскажите, пожалуйста, у вас есть ударная дрель с функцией перфоратора? И можно, пожалуйста, узнать условия аренды?"
334,334,гвоздезабивной пистолет по бетону,здравствуйте. сколько будет стоить аренда гвоздезабивной пистолет аккумуляторный
335,335,не вопрос клиента,Добрый день.
336,336,паркетно-шлифовальная машина,Здравствуйте. А циклевщик для Пола есть?
337,337,бензопила,"Добрый вечер  Интересует бензопила , 462 или выше Аренда на 4 дня , возможно больше"
338,338,пила дисковая,"Здравствуйте, меня интересует, 1)пила паркетница, если да, то сколько будет стоить аренда на 2 суток"
339,339,лазерный уровень,"Здравствуйте, меня интересует, 2)лазерный уровень, если да, то сколько будет стоить аренда на 2 суток"
340,340,степлер,"Здравствуйте, меня интересует, 3)степлер электрический, если да, то сколько будет стоить аренда на 2 суток"
341,341,не вопрос клиента,Добрый вечер
342,342,шлифовальная машина,"Здравствуйте,сориентируйте по наличию шлифмашинки по дереву ,ее стоимости и возможности аренды на воскресенье"
343,343,дрель для алмазного бурения,"Здравствуйте, имеется дрель с коронкой для подрозетника (68мм)?"
344,344,УШМ,"Здравствуйте, подскажите, есть ли в наличии в аренду болгарка?"
345,345,паркетно-шлифовальная машина,"Здравствуйте! Скажите пожалуйста, имеется в прокате Паркетошлифовальные машины? Если да, в какую стоимость прокат?"
346,346,паркетно-шлифовальная машина,"Здравствуйте, у вас есть циклевочная машина? Сколько стоит аренда?"
347,347,сварочный полуавтомат,"Здравствуйте, а сколько сварчный полуавтомат ампер минимум и цена"
348,348,лобзик,Добрый день! У вас в аренду аккумуляторный электро лобзик или аккумуляторная сабельная пила?
349,349,гвоздезабивной пистолет по бетону,Здравствуйте. Гвоздезабивной пистолет можно взять в аренду? Какая цена и условия ?
350,350,краскопульт,"Здравствуйте, есть электрический пуливилизатор"
351,351,не вопрос клиента,"здравствуйте, могу ли я придти к вам с инструментом маленьким, чтобы вы обрезали, я просто не умею инструментом пользоваться"
352,352,паяльник для ПВХ труб,Здравствуйте. Подскажите у вас есть инструмент для резки металлопластиковых труб?
353,353,не вопрос клиента,Сообщение удалено
354,354,триммер,Здравствуйте. Сколько будет стоить бензопила и триммер с ножом и леской? На день
355,355,перфоратор,"Здравствуйте, нужен мощный перфоратор, есть возможность взять у вас в аренду?"
356,356,степлер,"Здравствуйте, сколько стоит аренда степлера"
357,357,шлифовальная машина,"Здравствуйте, шлифовальная машина для дерева на акомулятлое есть?"
358,358,перфоратор,Здравствуйте! Хотела бы узнать возможно ли взять перфоратор (который подойдёт для кирпичной стены) на воскресенье и сколько это будет стоить?
359,359,перфоратор,Здравствуйте. Нужен перфоратор или дрель с ударным механизмом. Повесить зеркало
360,360,не вопрос клиента,Добрый день
361,361,плиткорез ручной,"Здравствуйте. Подскажите, интересует плиткорез. Что у вас есть из наличия и какая будет стоимость аренды ?"
362,362,заклепочник,Добрый день! подскажите есть ли в аренду резьбовой заклепочник?
363,363,УШМ,"Здравствуйте! Нужен болгарка на день, сколько выйдет?"
364,364,сварочный аппарат,"Здравствуйте! Нужен сварочник на день, сколько выйдет?"
365,365,нет такого инструмента,Электропилу в аренду сколько будет
366,366,не вопрос клиента,Здравствуйте!
367,367,пылесос,Добрый день ! Сколько стоит аренда строительного пылесоса ?
368,368,бензобур,Здравствуйте. Требуется бур шнек 300 с доставкой. Оплата по р/с  с НДС
369,369,перфоратор,Здравствуйте. Можно ли будет у вас завтра взять перфоратор в аренду? И сколько стоит на сутки
370,370,пылесос,"Здравствуйте, хотел бы завтра взять пылесос на день. Пропылесосить стяжку перед заливкой ровнителя. Не нашел объявления, сколько будет стоить ?"
371,371,газонокосилка,"Здравствуйте. Подскажите , у вас можно арендовать газонокосилку и какая цена за сутки ?"
372,372,генератор,"Здравствуйте, есть генератор от 5 кВт ? Завтра на день"
373,373,лестница,"Добрый день) нам нужна стремянка в среду к 10.00, на 1 день Подскажите , есть ли у Вас доставка и какой высоты есть?  Потолки в помещении 3.5м, необходим доступ до потолка"
374,374,перфоратор,"Здраствуйте,перфоратор в аренду у вас есть?цена аренды?"
375,375,пылесос,"Здравствуйте, у вас есть пылесос для болгарки ?"
376,376,лестница,"Добрый день. Подскажите, у вас будет стремянка высокая для работы с потолком 4м-4.3м?"
377,377,паркетно-шлифовальная машина,"Добрый день, в какую стоимость будет аренда циклевочной машины по паркету ?"
378,378,торцовочная пила,Здравствуйте  Нужна торцовка на 2-3 дня Какая стоимость?
379,379,торцовочная пила,"Добрый день! Ищем для работ небольшую торцовочную пилу. Подскажите, пожалуйста у Вас найдется такой инвентарь?"
380,380,лестница,"Добрый день! Ищем для работ стремянку до 100 сантиметров (можно +-20 сантиметров -- не критично). Подскажите, пожалуйста у Вас найдется такой инвентарь?"
381,381,лобзик,"Добрый день, хочу взять в аренду аккумуляторный электролобзик в воскресенье с утра"
382,382,лестница,"Добрый день! Просьба уточнить возможно и стоимость. Нужны две лестницы-стремянки. Трансформер и трехсекционная. На 3-5 дней, с сегодняшнего дня или завтра. С возможностью доставки: проспект Энгельса, дом 27. Оплата: желательно безнал, возможно?"
383,383,не вопрос клиента,Здравствуйте
384,384,дрель-шуруповерт,"Здравствуйте,в какую цену будет прокат дрели на сутки? Я могу сейчас без проблем подъехать"
385,385,бензобур,"Добрый вечер! Подскажите, пожалуйста, есть ли у вас бензобур?"
386,386,триммер,"Добрый вечер! Подскажите, пожалуйста, есть ли у вас триммер бензиновый (мотокоса)?"
387,387,сварочный полуавтомат,Сколько стоит аренда сварочного полуавтомата ?
388,388,вопрос по режиму работы,Подскажи вы с 09:00 или с 10:00 в выходные ? На авито написано с 09:00 на картах с 10:00
389,389,паркетно-шлифовальная машина,"Доброй ночи, в какую стоимость аренда циклевальной машины для паркета дубового ?"
390,390,пылесос,"Здравствуйте, подскажите пожалуйста, есть ли пылесос который подойдет для уборки полов после ремонта (надо избавиться от белой пыли)"
391,391,не вопрос клиента,Здравствуйте
392,392,нет такого инструмента,"Здравствуйте, электробур по чем можно арендовать?"
393,393,сварочный полуавтомат,"Здравствуйте! Интересует сварочный полуавтомат в аренду, на 2дня"
394,394,не вопрос клиента,Здравствуйте
395,395,фен,"Здравствуйте!  Нужно снять старую краску с деревянных дверей.   Я так понимаю, нужна аренда строительного фена? Если неправильно понимаю, подскажите, пожалуйста.  И сразу с ценами с доставкой от/до Загородного проспекта, 24, Спб  Спасибо!"
396,396,УШМ,"Здравствуйте!  Нужно снять старую краску с деревянных дверей.   Я так понимаю, нужна аренда болгарки? Если неправильно понимаю, подскажите, пожалуйста.  И сразу с ценами с доставкой от/до Загородного проспекта, 24, Спб  Спасибо!"
397,397,краскопульт,Здравствуйте! Краскопульт на завтра есть? Какой и стоимость аренды?
398,398,торцовочная пила,"Здравствуйте, какова стоимость аренды торцовочной пилы ?"
399,399,лестница,"здравствуйте, есть ли у вас лестница трансформер в аренду, что бы в разложенном виде не меньше 3 метров в длинну была? и сколько будет стоить на 3 часа?"
400,400,лобзик,Здравствуйте  Нужен лобзик для выреза столешницы в аренду на 1 день
401,401,торцовочная пила,Здравствуйте. У вас есть торцовочная пила?
402,402,перфоратор,"Здравствуйте, а перфоратор сколько будет стоить?"
403,403,пылесос,"Здравствуйте,можно ли заехать через минут 20 взять в аренду строительный пылесос?"
404,404,дрель-шуруповерт,"Добрый день, подскажите, пожалуйста, стоимость аренды шуруповерта?"
405,405,штроборез,Добрый день! Штроборезы есть?
406,406,лестница,Добрый день !   Интересует аренда лестницы на сутки высотой 9-11 метров  И по какому графику работаете ?
407,407,не вопрос клиента,Добрый вечер
408,408,перфоратор,"Здравствуйте, у вас есть перфоратор в аренду? Сколько стоит?"
409,409,не вопрос клиента,Здравствуйте!
410,410,рейсмус,Здравствуйте я по поводу рейсмус а утром могу получить
411,411,торцовочная пила,Здравствуйте.У вас есть в аренду торцовка по металлу?
412,412,нет такого инструмента,Здравствуйте есть набор гаечных ключей в аренду?
413,413,дрель-шуруповерт,Здравствуйте! Скажите пожалуйста сколько стои аренда дрели?
414,414,штроборез,Доброго дня! Интересует аренда штробореза
415,415,пылесос,Доброго дня! Интересует аренда строительного пылесоса
416,416,не вопрос клиента,Добрый день
417,417,гвоздезабивной пистолет по бетону,Добрый день есть аренда монтажного пистолета?
418,418,лобзик,Добрый день! Подскажите стоимость аренды лобзика электрического?
419,419,реноватор,Здравствуйте  Можно сегодня взять в аренду реноватор?
420,420,лазерный уровень,"Здравствуйте, есть ли в вас в аренду лазерный уровень?"
421,421,виброплита,"Здравствуйте, у вас есть на завтра аренда трамбоки 160-200кг?"
422,422,лестница,Здравствуйте. У вас есть лестница от 5м?
423,423,дрель-шуруповерт,"Здравствуйте, хотел бы взять в аренду у вас 2-3 шуроповерта мощных  Нужно вкручивать саморезы через листвиницу в металл  На суббота воскресенье"
424,424,станок распиловочный,"Добрый вечер! Скажите пожалуйста распиловочный станок у вас можно в аренду взять, завтра или послезавтра"
425,425,фен аккумуляторный,Здравствуйт! Есть фен аккумулятор?
426,426,бур для перфоратора,"Добрый день, есть бур по бетону 50мм?"
427,427,перфоратор,Добрый день ! Перфоратор возможно сегодня у вас взять  ?
428,428,фрезер,"Здравствуйте, подскажите сколько стоит аренда фрезера ? На 2 дня"
429,429,сварочный полуавтомат,По чем полуавтомат
430,430,не вопрос клиента,Здравствуйте
431,431,жираф,Здравствуйте! У вас есть шлифмашика для штукатурки? Сколько будет стоить аренда?
432,432,не вопрос клиента,Здравствуйте
433,433,лобзик,"здравствуйте, а у вас есть лобзик?"
434,434,генератор,"Добрый день, Есть ли электрогенератор 3 фазы , 5-6 кВт? Если есть , сколько стоит аренда сутки?"
435,435,дрель-шуруповерт,здравствуйте  у вас есть дрель со сверлом именно для кафеля?
436,436,перфоратор,"Добрый день! Мне нужен в аренду примерно дня на 4-5 перфоратор с силой удара от 4 до 8Дж + к этому перфоратору  насадка для сверления под розетку ( круглой формы, по моему её называют короной, но могу ошибаться) + насадка для штробления стены( бетон) под проводку.  Есть ли в наличии и стоимость прибора и доставки в черте СПб?"
437,437,не вопрос клиента,Здравствуйте
438,438,нет такого инструмента,"Здравствуйте, есть в аренду подметальные машины?"
439,439,пылесос,Здравствуйте) сколько стоит аренда строительного пылесоса?
440,440,не вопрос клиента,Здравствуйте. Где можно посмотреть прайс на инструменты?
441,441,лестница,"Здравствуйте ,  стремянку за сколько можно аредовать ?"
442,442,перфоратор,"Добрый день, скажите, пожалуйста, сегодня можно будет перфоратор в аренду взять?"
443,443,пушка тепловая,"Здравствуйте. Подскажите пожалуйста, есть ли в наличии тепловая пушка? И какие условия?"
444,444,машина полировальная,Добрый день есть ли у вас полировальная машинка
445,445,сварочный полуавтомат,"Здравствуйте, сколько стоит аренда простого полуавтомата ?"
446,446,торцовочная пила,Доброе утро! Нужна торцовочная пила.
447,447,торцовочная пила,Здравствуйте у вас тарсовка есть на 45° градусов
448,448,вопрос по режиму работы,Добрый день завтра можно будет инструмент арендовать?
449,449,лобзик,"Здравствуйте, сколько стоит в аренду лобзик и какие условия?"
450,450,дрель-шуруповерт,"Добрый день, подскажите пожалуйста, есть ли у вас шуруповёрт в прокате и сколько будет стоить его аренда на день?"
451,451,нет такого инструмента,"Добрый день, подскажите пожалуйста, есть у Вас пила по газобетону?"
452,452,дрель-шуруповерт,"здравствуйте, у вас есть в аренду дрель, шуруповерт и крестообразная ответрка?"
453,453,лобзик,"Добрый вечер! Подскажите, у вас есть электро-лобзик?"
454,454,торцовочная пила,Добрый вечер. Подскажите пожалуйста по аренде торцовочный пилы? Есть в наличии в. Какую стоимость?
455,455,пила дисковая,Добрый вечер. Интересует в аренду паркетка.
456,456,УШМ,"Здравствуйте, мне нужна болгарка с алмазным диском на воскресенье. У вас есть?"
457,457,степлер,Добрый вечер. Есть шпилькозабиватель ?Задача пробить мдф необработанный к стене и чтобы в шпаклевку на 2-3 мм зашло. Задача панели из мдф к стене прибить можно это сделать ?
458,458,нет такого инструмента,здравствуйте. У вас есть дорожная рейка длиной 3 метра?
459,459,гвоздезабивной пистолет по дереву,Здравствуйте. Есть гвоздизабивной пистолет под гвозди 100мм-130мм?
460,460,виброплита,Доброй ночи ! Трамбовка на завтра есть свободная ?
461,461,газовый баллон,"Здравствуйте, а сколько будет стоить взять в аренду балон?"
462,462,пушка газовая,"Здравствуйте, а сколько будет стоить взять в аренду газовую пушку?"
463,463,УШМ,Добрый день. Сколько стоит аренда болгарки на сутки или вечер?
464,464,сварочный полуавтомат,"Здравствуйте, сколько стоит арендовать сварочный полуавтомат на сутки?"
465,465,не вопрос клиента,Здравствуйте
466,466,пылесос,Здравствуйте. Стоимость аренды строительного пылесоса на выходные?
467,467,УШМ аккумуляторная,"Здравствуйте ,нужна аккумуляторная болгарка  Утром в субботу"
468,468,не вопрос клиента,"Здравствуйте, Коллеги"
469,469,краскопульт,Здравствуйте. Сколько стоит аренда краскопульта?
470,470,не вопрос клиента,Добрый вечер
471,471,вопрос по режиму работы,"Здравствуйте, на каких условиях даёте в аренду инструменты?"
472,472,гвоздезабивной пистолет по бетону,"Здравствуйте, ищу монтажный пистолет по бетону.  Есть ли свободный на среду?  Покажите фотки какой у Вас 🙏"
473,473,лазерный уровень,"Здравствуйте интересует лазерный уровень, есть в наличии?"
474,474,перфоратор,"Добрый вечер, сколько будет стоить перфоратор на прокат Нужно сломать стену"
475,475,сварочный аппарат,Здравствуйте. Сколько будет стоить аренда сварочного инвертора? Мне нужно 4 распред. коробки сварить.
476,476,пушка тепловая,Добрый день ! Есть тепловая пушка ?
477,477,не вопрос клиента,Здравствуйте
478,478,миксер,"Здравствуйте, сколько будет стоить аренда строительного миксера"
479,479,заклепочник,"Добрый вечер,клепальники электрические есть у вас в аренду?"
480,480,рейсмус,"Добры день, аренда рейсмуса в какую цену?"
481,481,генератор,"Здравствуйте,  интересует аренда генератора"
482,482,дрель-шуруповерт,"Добрый вечер, можно ли арендовать шуруповерт ?"
483,483,лестница,Здравствуйте Можно завтра арендовать лестницу на день?
484,484,миксер,Добрый день. Строительный миксер имеется в наличии?
485,485,пылесос,"Здравствуйте, хочу арендовать шлифмашинку для бетона (потолок) желательно с пылесосом чтобы она была на день (воскресенье, 31 августа). Есть ли у Вас такая и сколько она будет стоить?"
486,486,дрель-шуруповерт,"Здравствуйте, сколько стоит аренда дрели?"
487,487,краскопульт,"Здравствуйте! Мне нужен краскопульт для окраски фасада дома в аренду , есть у вас?"
488,488,краскопульт,"Здравствуйте. Подскажите, пожалуйста, стоимость аренды краскопульта в сутки и свободен ли 25-26 числа (завтра-послезавтра)?"
489,489,заклепочник,Здравствуйте есть заклепочник для вытяжных заклепок? Механический
490,490,дрель-шуруповерт,"Добрый день! Мне нужна дрель, какая цена аренды на сутки?"
491,491,перфоратор аккумуляторный,"Здравствуйте , есть перфератор аккумуляторный на завтра ?"
492,492,осушитель воздуха,Здравствуйте. Можно зарезервировать на завтра до 12ч осушитель?
493,493,торцовочная пила,"Здравствуйте, торцевую пилу в какую стоимость можно взять в аренду на день?"
494,494,триммер,Здравствуйте! Мне нужен триммер на завтра на день
495,495,УШМ,Здравствуйте. Сколько стоит аренда болгарки с алмазной чашкой? Мне нужно снять краску со стены
496,496,рейсмус,Здравствуйте! Нашу организацию (я представляю сейчас ИП) - интересует взять в аренду Станок рейсмусовый деревообрабатывающий с шириной обработки не менее 250 мм Какие условия аренды: 1. Кто может выступать арендатором? 2. Наличие/объем залога? 3. Стоимость аренды (сроки/цена)? 4. Возможность доставки арендодателем (находимся Канонерка)? Благодарю!
497,497,не вопрос клиента,Сообщение удалено
498,498,реноватор,Добрый день можно на завтра забронировать рановатор
499,499,перфоратор,Добрый день!  можно будет в аренду перфоратор взять? и сколько будет стоить?
500,500,степлер,"Добрый день. Интересует степлер электрический, гвозди от 40 мм. Есть такое?"
501,501,рейсмус,"Добрые день, скажите пожалуйста, сколько стоит аренда рейсмусового станка?"
502,502,реноватор,Добрый день! Необходима аренда реноватора на сутки. Подскажите стоимость с самовывозом на Парнасе?
503,503,перфоратор,"Здравствуйте! Подскажите, сколько будет стоить аренда перфоратора на день? Интересует на завтра 19.08"
504,504,мотопомпа,Добрый день. Есть ли у Вас мотопомпа в аренду? Сколько стоит в сутки?
505,505,перфоратор,"Здравствуйте,нужен перфоратор"
506,506,УШМ,"Здравствуйте, сколько стоит арендовать болгарку на пол для?"
507,507,паркетно-шлифовальная машина,Здраствуйте есть ли в аренду циклевочная машина? Оплата по безналу.
508,508,вопрос по режиму работы,Доброе утро! Когда можно будет подъехать к вам?
509,509,не вопрос клиента,Добрый день
510,510,пылесос,"Здравствуйте! Подскажите, пожалуйста, есть в аренду строительный пылесос? Какая стоимость?"
511,511,реноватор,"День добрый, реноватор в аренде есть у вас?"
512,512,триммер,Здравствуйте. Триммер бензиновый или хорошей мощности электрический имеется в аренду?
513,513,нет такого инструмента,Доброе утро. У вас есть резьбонарезной ручной станок?
514,514,паркетно-шлифовальная машина,"Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?"
515,515,пылесос,"Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина и пылесос к ней?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?"
516,516,не вопрос клиента,Здравствуйте!
517,517,торцовочная пила,Добрый вечер. У вас есть торцевая пила?
518,518,резчик швов,Добрый день! Есть ли у вас доставка и вывоз? И какая стоимость будет за аренду нарезчика швов на 2 дня. (Режем асфальт)
519,519,пила погружная,"Здравствуйте, у вас есть погружная пила с шиной аккумуляторная?"
520,520,пылесос,"Здравствуйте, нужен строительный пылесос и шлифовальная машина по бетону, для потолка, есть ли а вас в наличии? что для этого нужно?"
521,521,резчик швов,Здравствуйте.  Нужно пропилить дорожную плиту.  Что посоветуете?  Глубина Реза нужна от 20 см.
523,523,не вопрос клиента,Здравствуйте
524,524,нет такого инструмента,"Здравствуйте, есть зажим для фальцевой кровли?"
525,525,не вопрос клиента,Добрый день
526,526,шлифовальная машина,"Добрый день, у Вас есть шлиф машинка в аренду?"
527,527,дрель-шуруповерт,Здравствуйте.  Шуруповерт на сутки сколько стоит и какие условия?
528,528,не вопрос клиента,Здравствуйте
529,529,паркетно-шлифовальная машина,"Здравствуйте, нужна в аренду циклевочная машинка для паркета"
530,530,сварочный полуавтомат,Добрый день. Подскажите сколько стоит аренда сварочного полуавтомата на сутки?
531,531,пресс для труб РЕ-Х,Здравствуйте! Аксиальный прес под рехау есть ?
532,532,паяльник для ПВХ труб,Добрый вечер. У вас есть сварочный аппарат ппр с насадками 125-100 ?. То есть для больших диаметром ппр
533,533,дрель для алмазного бурения,Добрый день! Есть дрель для алмазного бурения?
534,534,машина полировальная,"Здравствуйте, аренда полировальной машинки сколько стоит?"
535,535,генератор,Здравствуйте. Какие варианты бензогенератора у вас есть и по какой цене?
536,536,машина полировальная,"Доброй ночи, извините за позднее сообщение, хотел бы узнать стоимость аренды полировальной машинки для автомобиля"
537,537,перфоратор,"Здравствуйте, сколько будет стоить перфоратор на 1-2 часа"
538,538,пушка тепловая,"Здравствуйте. Уточните, пожалуйста, есть ли у вас в аренду обогреватели?"
539,539,газонокосилка,Добрый день! А сколько стоит аренда газонокосилки?
540,540,пылесос,"Здравствуйте, у вас есть пылесосы для чистки мебели?"
541,541,не вопрос клиента,Здравствуйте
542,542,удлинитель электричексий,"Добрый день! У вас есть удлинитель 220в -,40/50 метров сегодня на сутки?"
543,543,газонокосилка,Аренда газонокосилки ск стоит у вас?
544,544,фрезер,"Здравствуйте, подскажите, можно ли взять фрезер в аренду и сколько будет стоить"
545,545,пылесос,"Добрый день,  можно взять в аренду строительный пылесос? На сутки с 2 по 3 августа"
