,тема,текст
489,заклепочник,Здравствуйте есть заклепочник для вытяжных заклепок? Механический
490,дрель-шуруповерт,"Добрый день! Мне нужна дрель, какая цена аренды на сутки?"
491,перфоратор аккумуляторный,"Здравствуйте , есть перфератор аккумуляторный на завтра ?"
492,осушитель воздуха,Здравствуйте. Можно зарезервировать на завтра до 12ч осушитель?
493,торцовочная пила,"Здравствуйте, торцевую пилу в какую стоимость можно взять в аренду на день?"
494,триммер,Здравствуйте! Мне нужен триммер на завтра на день
495,УШМ,Здравствуйте. Сколько стоит аренда болгарки с алмазной чашкой? Мне нужно снять краску со стены
496,рейсмус,Здравствуйте! Нашу организацию (я представляю сейчас ИП) - интересует взять в аренду Станок рейсмусовый деревообрабатывающий с шириной обработки не менее 250 мм Какие условия аренды: 1. Кто может выступать арендатором? 2. Наличие/объем залога? 3. Стоимость аренды (сроки/цена)? 4. Возможность доставки арендодателем (находимся Канонерка)? Благодарю!
497,не вопрос клиента,Сообщение удалено
498,реноватор,Добрый день можно на завтра забронировать рановатор
499,перфоратор,Добрый день!  можно будет в аренду перфоратор взять? и сколько будет стоить?
500,степлер,"Добрый день. Интересует степлер электрический, гвозди от 40 мм. Есть такое?"
501,рейсмус,"Добрые день, скажите пожалуйста, сколько стоит аренда рейсмусового станка?"
502,реноватор,Добрый день! Необходима аренда реноватора на сутки. Подскажите стоимость с самовывозом на Парнасе?
503,перфоратор,"Здравствуйте! Подскажите, сколько будет стоить аренда перфоратора на день? Интересует на завтра 19.08"
504,мотопомпа,Добрый день. Есть ли у Вас мотопомпа в аренду? Сколько стоит в сутки?
505,перфоратор,"Здравствуйте,нужен перфоратор"
506,УШМ,"Здравствуйте, сколько стоит арендовать болгарку на пол для?"
507,паркетно-шлифовальная машина,Здраствуйте есть ли в аренду циклевочная машина? Оплата по безналу.
508,вопрос по режиму работы,Доброе утро! Когда можно будет подъехать к вам?
509,не вопрос клиента,Добрый день
510,пылесос,"Здравствуйте! Подскажите, пожалуйста, есть в аренду строительный пылесос? Какая стоимость?"
511,реноватор,"День добрый, реноватор в аренде есть у вас?"
512,триммер,Здравствуйте. Триммер бензиновый или хорошей мощности электрический имеется в аренду?
513,нет такого инструмента,Доброе утро. У вас есть резьбонарезной ручной станок?
514,паркетно-шлифовальная машина,"Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?"
515,пылесос,"Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина и пылесос к ней?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?"
516,не вопрос клиента,Здравствуйте!
517,торцовочная пила,Добрый вечер. У вас есть торцевая пила?
518,резчик швов,Добрый день! Есть ли у вас доставка и вывоз? И какая стоимость будет за аренду нарезчика швов на 2 дня. (Режем асфальт)
519,пила погружная,"Здравствуйте, у вас есть погружная пила с шиной аккумуляторная?"
520,пылесос,"Здравствуйте, нужен строительный пылесос и шлифовальная машина по бетону, для потолка, есть ли а вас в наличии? что для этого нужно?"
521,резчик швов,Здравствуйте.  Нужно пропилить дорожную плиту.  Что посоветуете?  Глубина Реза нужна от 20 см.
522,дрель магнитная,Здравствуйте! Предлагается ли в аренду. Магнитный сверлильный станок
523,не вопрос клиента,Здравствуйте
524,нет такого инструмента,"Здравствуйте, есть зажим для фальцевой кровли?"
525,не вопрос клиента,Добрый день
526,шлифовальная машина,"Добрый день, у Вас есть шлиф машинка в аренду?"
527,шуруповерт,Здравствуйте.  Шуруповерт на сутки сколько стоит и какие условия?
528,не вопрос клиента,Здравствуйте
529,паркетно-шлифовальная машина,"Здравствуйте, нужна в аренду циклевочная машинка для паркета"
530,сварочный полуавтомат,Добрый день. Подскажите сколько стоит аренда сварочного полуавтомата на сутки?
531,пресс для труб РЕ-Х,Здравствуйте! Аксиальный прес под рехау есть ?
532,паяльник для ПВХ труб,Добрый вечер. У вас есть сварочный аппарат ппр с насадками 125-100 ?. То есть для больших диаметром ппр
533,дрель для алмазного бурения,Добрый день! Есть дрель для алмазного бурения?
534,машина полировальная,"Здравствуйте, аренда полировальной машинки сколько стоит?"
535,генератор,Здравствуйте. Какие варианты бензогенератора у вас есть и по какой цене?
536,машина полировальная,"Доброй ночи, извините за позднее сообщение, хотел бы узнать стоимость аренды полировальной машинки для автомобиля"
537,перфоратор,"Здравствуйте, сколько будет стоить перфоратор на 1-2 часа"
538,пушка тепловая,"Здравствуйте. Уточните, пожалуйста, есть ли у вас в аренду обогреватели?"
539,газонокосилка,Добрый день! А сколько стоит аренда газонокосилки?
540,пылесос,"Здравствуйте, у вас есть пылесосы для чистки мебели?"
541,не вопрос клиента,Здравствуйте
542,удлинитель электричексий,"Добрый день! У вас есть удлинитель 220в -,40/50 метров сегодня на сутки?"
543,газонокосилка,Аренда газонокосилки ск стоит у вас?
544,фрезер,"Здравствуйте, подскажите, можно ли взять фрезер в аренду и сколько будет стоить"
545,пылесос,"Добрый день,  можно взять в аренду строительный пылесос? На сутки с 2 по 3 августа"
546,плиткорез ручной,"Добрый день,  можно взять в аренду плиткорез? На сутки с 2 по 3 августа"
547,УШМ,Здравствуйте! У вас есть на сутки или двое болгарка увеличенного диаметра? 200 например  СПб
548,генератор,Добрый вечер Требуется арендовать генератор мощность 5кВт На 22.08 С 15:00 до 23:00 Подскажите пожалуйста сколько это может стоить ? Также имеется ли возможность осуществить трансфер и при необходимости завести генератор?
549,перфоратор,"Здравствуйте, сколько стоит аренда перфоратора"
550,пылесос,Здравствуйте. Интересует аренда строительного пылесоса на 1 день. Нужен в понедельник 22.07.2025 . Сколько будет стоить и когда можно забрать?
551,триммер аккумуляторный,Добрый день! У Вас есть в прокат аккумуляторный триммер ?
552,пылесос,Здравствуйте сколько стоит аренда строительного пылесоса
553,сварочный аппарат,"здравствуйте, мне приварить две железки, что мне для этого посоветуете взять в аренду?"
554,перфоратор,добрый день! а можно у вас сегодня будет взять перфоратор в аренду?
555,перфоратор,"Добрый день,подскажите пожалуйста сколько будет стоить арендовать перфоратор и сверло на 8 и 12 при возможности?"
556,нет такого инструмента,Добрый день! Сколько будет стоить аренда электропилы на 2 дня ? И куда надо подъехать? Часы работы
557,торцовочная пила,"Здравствуйте! Нужна торцовочная пила с диском, чтобы аккуратно резать углы плинтуса МДФ , какие условия и стоимость аренды ?😊"
558,перфоратор,"Здравствуйте, есть ли у вас в наличии следующие инструменты?  перфоратор ножницы по металлу  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости."
559,УШМ,"Здравствуйте, есть ли у вас в наличии следующие инструменты?  болгарка с диском по металлу  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости."
560,шуруповерт,"Здравствуйте, есть ли у вас в наличии следующие инструменты?  шуруповерт  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости."
561,отбойный молоток,Здравствуйте бетонолом есть у вас сколько джоулей и какая модель?
562,паяльник для ПВХ труб,"Здравствуйте, ищу сварочный аппарат для полипропиленовых труб диаметром 90мм.у вас такой есть?"
563,пылесос,"Здравствуйте, подскажите сколько у вас стоит аренда пылесоса кёрхер, например вд 3?"
564,вопрос по режиму работы,"Добрый день, по поводу аренды сколько стоит инструменты?"
565,не вопрос клиента,Сообщение удалено
566,фен,Добрый день! Сколько будет стоить аренда строительного фена на день?
567,УШМ,Ушм 230 сколько в день?
568,машина полировальная,"Здравствуйте, возможно завтра взять в аренду полировочную машинку?"
569,не вопрос клиента,Сообщение удалено
570,фрезер,"Добрый вечер, подскажите, будет ли фрезер с фрезой для врезки замков на завтра в аренду взять?"
571,генератор,Здравствуйте. Нужен генератор в аренду на эти выходные для питания походного холодильника. Есть небольшой свободный в наличии?
572,лобзик,"Здравствуйте, можно взять в аренду электролобзик на двое суток?"
573,перфоратор,Добрый день Сколько будет стоить аренда перфоратора на сутки
574,лобзик,"Здравствуйте, есть лобзик в наличии и сверло по дереву к нему?"
575,торцовочная пила,"Добрый вечер! Подскажите пожалуйста, могу ли я взять у Вас в аренду торцовочную пилу завтра утром на сутки?"
576,шлифовальная машина,"Здраствуйте, есть ли к вас шлифмашинки на аккумуляторе ?"
577,бур для перфоратора,Здравствуйте. У Вас есть бур для установки кондиционера?
578,нет такого инструмента,Здравствуйте есть аппарат для снятия кровли ?
579,перфоратор,"Доброго вечера, подскажите стоимость  аренды перфоратора ?"
580,лестница,"добрый день нужна в аренду лестница трехсекционная, думаю ступеней на 7 хватит. нужно на одну ночь, работать в тц гранд каньон, ремонт кондиционера"
581,заклепочник,"Здравствуйте, есть в наличии электро заклепочник?"
582,виброплита,Здравствуйте!   Интересует аренда трамбовки 250-300кг есть ли у вас такая?
583,пылесос,"Добрый день, в аренду у вас есть пылесос и шлифовальная машинка?"
584,не вопрос клиента,Здравствуйте
585,нет такого инструмента,"Здравствуйте, сколько стоит аренда трубореза?"
586,пылесос,Здравствуйте возможно ли завтра взять пылесос строительный в аренду?
587,не вопрос клиента,Добрый день!
588,торцовочная пила,"Здравствуйте! торцовочная пила с протяжкой есть у вас? чтобы распилить стеновые панели, они тонкие но широкие 20см"
589,перфоратор,Добрый вечер  У вас есть Перфоратор. И сколько это будет стоить на 2 суток
590,УШМ,Добрый вечер  У вас есть  болгарка  И сколько это будет стоить на 2 суток
591,лазерный уровень,Добрый вечер  У вас есть лазерный уровень (любой )  И сколько это будет стоить на 2 суток
592,лобзик,Добрый вечер  У вас есть лобзик  И сколько это будет стоить на 2 суток
593,нет такого инструмента,Здравствуйте. Интересует ленточная шлифмашина машинка на роликах . есть ?
594,краскопульт,"Добрый день,краскопульт есть в наличии ?"
595,вопрос по режиму работы,"Добрый вечер, работаете сейчас?"
596,не вопрос клиента,Здравствуйте
597,не вопрос клиента,"Здравствуйте,вам нужен инструмент для монтажных работ ?"
598,УШМ,"Здравствуйте. А нет ли такой возможности, чтобы и мастера вместе с инструментом пригласить? Нужно болгаркой отпилить  полосу на декоративной плитке на балконе ?"
599,не вопрос клиента,Привет
600,бур для перфоратора,"Здравствуйте, а 32 бур есть в аренду?"
601,перфоратор,Добрый день по аренде перфоратора возможно сегодня ?
602,пушка электрическая,Здравствуйте есть электрическая пушка до 3КВТ?
603,не вопрос клиента,Добрый вечер
604,не вопрос клиента,Сообщение удалено
605,сварочный полуавтомат,"здравствуйте, сколько будет стоить арендовать полуавтомат на субботу и воскресенье?"
606,виброплита,"Добрый день! У вас возможно на завтра с доставкой заказать бенз.трамбовку на 90 кг. Адрес доставки: улица Понссе, территория Южная часть производственной зоны Горелово, Виллозское г.п., Ломоносовский район. Работаеи по безналу с НДС."
607,пылесос,Здравствуйте мне нужен строительной пылесос
608,не вопрос клиента,Добрый день
609,лобзик,"Добрый день, лобзик аккумуляторный есть?"
610,пылесос,"Здравствуйте. Подскажите, пожалуйста, стоимость аренды строительного пылесоса"
611,пылесос,Здравствуйте! Интересует строительный пылесос в аренду
612,сварочный полуавтомат,"Здравствуйте,сколько стоит аренда сварочного полуавтомата?"
613,резчик швов,А резчик швов сколько будет в аренду стоить? И какие есть?
614,пылесос,"Добрый день, хотела узнать у вас насчет цены за аренду пылесоса с шлангом, работы на пару минут🙏🏻 Нужно протянуть леску по гофре. По адресу метро Рыбацкое, в какую стоимость это выйдет?"
615,бур для перфоратора,"Добрый вечер! Есть в аренде бур 28х1000 и 32х1000 под sds plus. Сколько на сутки один и второй бур и если оба сразу возьму в аренду, цена такая же? Мне на полдня, максимум день. Спасибо"
616,фрезер,Здравствуйте! Нужно будет арендовать фрезер на следующей неделе на 1 день. Сколько будет стоить?
617,перфоратор,"Здравствуйте, интересует перфоратор sdc max и бур 40 д метр"
618,не вопрос клиента,добрый день
619,лобзик,Здравствуйте! Интересует лобзик электрический по дереву. Есть?
620,УШМ,"Здравствуйте, сориентируйте пожалуйста по ценам.  Аренда : болгарки  Сроком на 12 часов и допустим сутки"
621,миксер,"Здравствуйте, сориентируйте пожалуйста по ценам.  Аренда : строительного миксера  Сроком на 12 часов и допустим сутки"
622,лобзик,"Добрый вечер, подскажите есть ли в наличии электролобзик и пила циркулярная? Сколько по стоимости аренда?"
623,воздуходувка,"Добрый день, подскажите пжл, есть ли у вас в аренду воздуходувка? Сколько по стоимости будет? Благодарю)"
624,лестница,"Добрый день, подскажите пжл, есть ли у вас в аренду самая длинная стремянка, метров так 12? Сколько по стоимости будет? Благодарю)"
625,пылесос,"Добрый день, строительный пылесос есть в наличии в аренду?"
626,не вопрос клиента,Добрый день
627,не вопрос клиента,Здравствуйте
628,лобзик,Добрый вечер. Элекролобзик в прокат есть?
629,не вопрос клиента,Здравствуйте
630,УШМ,"Добрый день. Я забронировала маленькую болгарку минут 20 назад ,но потребность отпала,не могу дозвониться через Авито,скидывает вызов. Снимите бронь,пожалуйста,извините ,что так вышла. Наталья."
631,виброплита,Здравствуйте. Сколько стоит аренда виброплиты с накладкой (ковриком) для плитки?
632,не вопрос клиента,Доброй ночи
633,пылесос,"Добрый день! Подскажите пожалуйста. Если сегодня арендовать строительный пылесос, завтра смогу его вернуть? Или завтра не работаете?"
634,УШМ аккумуляторная,"Здравствуйте, у вас можно взять в аренду аккумуляторную болгарку?"
635,паркетно-шлифовальная машина,циклевочная машина есть на прокат?
636,пылесос,"Доброе утро, какая стоимость аренда строительного пылесоса на 1 сутки?"
637,дрель-шуруповерт,Здравствуйте! Можно забронировать на завтра дрель?
638,пила дисковая,Здравствуйте. Можно завтра взять циркулярную пилу в аренду?
639,перфоратор,"Здравствуйте. Хотели бы взять в аренду перфоратор, где то на пол дня, сегодня или завтра."
640,пистолет для герметика,Здравствуйте! Есть ли в парке электрический пистолет для герметика под пакеты?
641,сварочный полуавтомат,"Здравствуйте. Интересует аренда сварочника полуавтомата, с баллоном. Стоимость?"
642,сварочный полуавтомат,Здравствуйте интересует аренда полуавтомата
643,не вопрос клиента,Здравствуйте
644,шнек для бензобура,"Здравствуйте, если у вас буры для бензобура Если есть, то какие диаметры"
645,шуруповерт,"Здравствуйте, подскажите, можно ли сегодня подъехать арендовать шуруповерт-дрель? В районе 17:00"
646,жираф,Добрый день. Интересует  инструмент для шлифования стен.
647,паркетно-шлифовальная машина,"Добрый день. Нам нужно отшлифовать террасу от старой краски, площадь большая, нужна Большая шлифовальная машина, есть в наличие ?"
648,торцовочная пила,"Здравствуйте , нужна торцовка с протяжкой под 305 диск"
649,отбойный молоток,"Здравствуйте, у вас есть в наличии бетоноломы в аренду ?"
650,сварочный полуавтомат,Добрый день! Сколько будет стоить аренда сварочного полуавтомата на 2 дня?
651,пылесос,"Доброе утро, хочу арендовать пылесос Керхер"
652,сварочный полуавтомат,"Здравствуйте, у вас есть полуавтомат? И вы завтра работаете?"
653,газонокосилка,Добрый день. Есть в наличии газонокосилка в аренду?
654,не вопрос клиента,Здравствуйте
655,шуруповерт,"Здравствуйте, подскажите пожалуйста сколько будет по цене шуруповерт, на 1 день?"
656,перфоратор,Здравствуйте. Интересует аренда большого перфоратора
657,торцовочная пила,Здравствуйте у вас есть торцовочная пила 2 в 1 сколько будет стоить оренда на один день?
658,сабельная пила,"Здравствуйте! Подскажите, пожалуйста, стоимость аренды пилы сабельной."
659,рохля,Здравствуйте . Есть ли у вас рохля (Перевозка поддонов) в прокат на 1 день ? Загрузить завтра утром
660,станок распиловочный,"добрый день, станок для распила доски есть?"
661,не вопрос клиента,Здравствуйте
662,лестница,Добрый вечер! У вас в аренду телескопическая стремянка?
663,краскопульт,Здравствуйте! Есть краскопульт в аренду?
664,краскопульт,"здравствуйте , какие модели краскопультов у вас есть в наличии и за какую цену?"
665,газонокосилка,Здравствуйте! Есть ли в аренду газонокосилка на аккумуляторе/бензине?
666,виброплита,Здравствуйте! Сколько будет стоить аренда трамбовщика на понедельник 12 мая?
667,перфоратор,"Здравствуйте, подскажите сколько будет стоить перфоратор в аренду на сутки?"
668,торцовочная пила,здраствуйте.у вас есть торцовочные пилы в аренду?
669,гвоздезабивной пистолет по бетону,не обходим газовый пистолет для монтажа теплоизоляции 100мм под дюпель гвоздь в бетон
670,дрель-шуруповерт,"Здравствуйте, скажите пожалуйста, сколько будет стоить аренда дрели на сутки?"
671,пылесос,"Добрый день, сегодня у вас свободен строительный пылесос ?"
672,не вопрос клиента,Здравствуйте
673,нет такого инструмента,"Здравствуйте, подскажите пожалуйста чем лучше вспахать? землю с корнями - верхний слой 15 см не прокопать только топором. Готов арендоватт"
674,перфоратор,Добрый вечер  Есть перфоратор сверлом 35 ssd max ?
675,рейсмус,добрый день. есть у вас рейсмус небольшой
676,торцовочная пила,"Добрый день! Звонил Вам по торцовке с протяжкой. Отправляю Вам реквизиты для счета   ИНН: 7801486233 КПП: 781301001 ОГРН: 1087847019303 ОКПО: 89061796 Основной счет: Расчетный счет: 40702810502260009028 Банк: ФИЛИАЛ ""ЦЕНТРАЛЬНЫЙ"" БАНКА ВТБ (ПАО) БИК: 044525411 Корр. счет: 30101810145250000411 Второй счет: Расчетный счет: 40702810410000797899 Банк: АО ""ТИНЬКОФФ БАНК"" БИК: 044525974 Корр.счет: 30101810145250000974 Юридический адрес: 197046, г. Санкт-Петербург, Каменноостровский пр., д. 9/2, литера А часть нежилого помещения 7Н (пом.1) Фактический Адрес: 197229, г. Санкт-Петербург, Лахтинский пр-кт, дом 85, литера В, помещение Т-7/1, офис 263 Директор: Михайлов Вячеслав Анатольевич"
677,торцовочная пила,День добрый  есть торцовочная пила?
678,лестница,"Здравствуйте, нужна стремянка. У нас высота 5 метров, упереть не к чему, нужна желательно трехступенчатая, у вас будет такая?"
679,сабельная пила,"День добрый, сабельная пила в какую цену за сутки?"
680,не вопрос клиента,Привет добрий вечер.
681,краскопульт,Сколько стоит аренда краскопульта? Какие есть в наличии?
682,фрезер,У вас  есть шаблон для фрезера?
683,виброплита,Доброе утро. Нужна виброплита в аренду сегобня после 12.00. Есть ли возможность взять у вас? И какая стоимость в сутки?
684,генератор,"Добрый день, сколько стоит аренда генератора на сутки?"
685,паркетно-шлифовальная машина,"Здравствуйте, интересует аренда циклевочной машины. Хотела бы узнать условия и есть ли в наличии на завтра."
686,бензорез,"Здравствуйте, нужен бензорез под 400 диск Хускварна. Есть такой?"
687,гвоздезабивной пистолет по дереву,"Добрый день , нужен шпилькозабивной пистолет."
688,пила погружная,"Добрый день! Подскажите пожалуйста , у вас есть погружная циркулярная пила?"
689,лестница,Здравствуйте  У Вас можно арендовать телескопическую лестницу?
690,фрезер,Здравствуйте! Сколько у вас стоит арендовать фрезер ручной?
691,виброплита,Доброе утро! Интересует аренда виброплиты. Есть ли у Вас доставка по ЛО-Курортный район?
692,триммер,"Добрый вечер. Подскажите, пожалуйста, у вас есть в аренду триммер для травы и сколько стоит аренда на день?"
693,сварочный аппарат,Здравствуйте сколько стоит аренда сварочного аппарата
694,газонокосилка,"Здравствуйте,  подскажите какие газонокосилки у вас есть и цена аренды."
695,сварочный полуавтомат,"Добрый вечер, сварочный полуавтомат какой у вас ?"
696,перфоратор,"Здравствуйте. Хочу взять в аренду на 2 дня перфоратор и ушм, какие условия?"
697,гвоздезабивной пистолет по бетону,Здравствуйте! У вас есть в аренду монтажный пистолет?
698,перфоратор,"Здравствуйте. Можно ли взять у Вас. Аренду инструмент. Нужен лобзик, перфоратор, болгарка (УШМ). Какие условия. Интересует стоимость краткосрочной и долгосрочной аренды. Можно на ИП или частник."
699,пылесос,"Здравствуйте, нужна аренда строительного пылесоса на завтра"
700,лобзик,Здравствуйте мне нужен лобзик  В аренду можно оформить ?
701,паркетно-шлифовальная машина,Добрый день  Скажите пожалуйста у вас есть в Аренду машина циклевочная для паркета? Чтобы после укладки можно было ее шлифовать
702,перфоратор,"здравствуйте, сколько будет стоить аренда перфоратора?"
703,пылесос,"здравствуйте, скажите пожалуйста, есть ли у вас в наличии свободные пылесосы?"
704,машина полировальная,"Добрый вечер! Хотела уточнить, если я возьму у вас в аренду шлифмашинку - в комплекте идет насадка мягкая для полировки? Или аренда только самой машинки у вас?"
705,миксер,"Здравствуйте, подскажите, пожалуйста, можно ли взять на прокат строительный миксер (для подготовки раствора шпатлевки)?"
706,краскопульт,"Здравствуйте.  Краскопульт, стоимость аренды 1-2 суток? Условия?"
707,рейсмус,"Добрый день. У вас есть рейсмус в аренду? Какой производитель , модель?"
708,перфоратор,"Здравствуйте! Можно ли на завтра арендовать перфоратор? И подскажите, на какое количество часов можно арендовать?"
709,генератор,"Добрый день, интересна аренда генератора, на 12 ч (если возможно) где то на 2 Кв. Хочется знать его шум (в ДцБ) и вес. А также идёт ли заправленным или нет?"
710,не вопрос клиента,"Добрый день, я пишу диплом на похожую тему(перспективные области шеринговой экономики), которая как раз таки вы занимаетесь. Я столкнулся с проблемой оценки спроса и перспектив данного вида деятельности. Как я понимаю, у вас могли бы быть данные, которые я бы смог проанализировать и использовать данные для диплома. Я был бы очень благодарен за ответ. С уважением, Киселев Алексей Андреевич.  Студент 4 курса СПБГУ."
711,паркетно-шлифовальная машина,"Добрый вечер Скажите, есть ли циклевальная машина?"
712,краскопульт,Здравствуйте  Интересует аренда краскопульта на 08.05  Подскажите условия
713,шуруповерт,"Добрый день, если арендовать шуруповерт, то какие биты идут в комплекте ?)"
714,генератор,Здравствуйте сколько стоит аренда генератора на один день?
715,пылесос,Здравствуйте сколько пылесос стоит на день?
716,рейсмус,Здравствуйте. Стоимость аренды рейсмусового станка на 2 дня?
717,пылесос,Добрый вечер! Интересует аренда строительного пылесоса. Какая стоимость? На какое время арендуете?
718,бур для перфоратора,Здравствуйте. Бур сдс плюс длинный 1.5-2.5 метра есть ?
719,шуруповерт,Здравствуйте! У вас есть шуруповерт в аренду?
720,отбойный молоток,"День добрый,а есть в аренду отбойный молоток?"
721,дрель-шуруповерт,"Здравствуйте, хочу дрель со свёрлами по дереву на 1 час у вас взять. Нужно в двери сделать дверь для кота"
722,лобзик,"Здравствуйте, хочу лобзик на 1 час у вас взять. Нужно в двери сделать дверь для кота"
723,паркетно-шлифовальная машина,Здравствуйте. Интересует аренда дисковой циклевочной машины. На следующей неделе вт-ср-чт
724,шуруповерт,Вечер добрый. В ближайшие дни можно арендовать шуруповерт ?
725,лобзик,"Добрый вечер , есть аккумуляторный лобзик в наличии ?"
726,бур для перфоратора,"Здравствуйте, сколько стоит на сутки взять бур по бетону?"
727,паяльник для ПВХ труб,"Добрый день, паяльник для полипропилена есть у вас?"
728,не вопрос клиента,Добрый вечер!
729,пушка газовая,"Здравствуйте, газовая пушка в аренду есть?"
730,реноватор,Здравствуйте реноватор есть в аренду на сегодня  ?
731,перфоратор,Здравствуйте! Сколько будет стоить взять перфоратор и строительный пылесос на 2 дня
732,не вопрос клиента,Добрый день
733,пресс для труб РЕ-Х,Здравствуйте  у вас можно  арендовать пресс для трубы  рендхау
734,генератор,Здравствуйте нужен генератор или преобразователь для потребителя  1500вт
735,паркетно-шлифовальная машина,Здравствуйте! А циклевочная машина у Вас какая?
736,сварочный полуавтомат,"Здравствуйте, сколько будет стоить аренда полуавтомата с проволкой и смесью"
737,пылесос,"Добрый день, сколько стоит аренда строительного пылесоса?"
738,УШМ аккумуляторная,"Здравствуйте, у вас есть аккумуляторная ушм?"
739,шуруповерт,Добрый вечер  Могу взять завтра на прокат шуроповерт с насадками на крест?
740,сварочный аппарат,"Здравствуйте, сколько стоит аренда сварочного аппарата?"
741,не вопрос клиента,Здравствуйте
742,шуруповерт,"Здравствуйте, сегодня можно подъехать часов в 12 взять шруповерт на сутки?"
743,гвоздезабивной пистолет по дереву,"Здравствуйте, Уточните стоимость аренды гвоздезабивного пистолета и характеристики. Нужно для гвоздей 90"
744,бензобур,"Добрый день ,бензобур на 2 оператора сколько будет стоить аренда?"
745,пила дисковая,Здравствуйте.  Циркулярная пила нужна на завтра
746,не вопрос клиента,Здравствуйте
747,не вопрос клиента,Здравствуйте
748,паяльник для ПВХ труб,"Здравствуйте, есть у вас аппарат для сварки полиэтиленовых труб диаметром 280 и 560 мм с оператором?"
749,нет такого инструмента,Добрый день.  Есть в аренду фрейер для пней?
750,не вопрос клиента,Здравствуйте
751,не вопрос клиента,"Здравствуйте. Можно ли получить инструмент в аренду также без залога, если нет прописки В Спб и ЛО?"
752,виброплита,"Здравствуйте, трамбовка 140 кг. Почем аренда на день ?"
753,лобзик,"Здравствуйте. Есть ли у вас электро лобзик в аренду, и, если есть, подскажите пожалуйста стоимость? Спасибо!"
754,степлер,"Здравствуйте, Стахановец У вас можно взять в аренду степлер?"
755,перфоратор,Добрый день! Планирую взять комплект перфоратор и бур 45х600. Сможете помочь?
756,сварочный полуавтомат,Здравствуйте сварочный аппарат полуавтомат есть
757,лестница,"Здравствуйте, есть ли у вас в аренду стремянки на длительный срок?"
758,перфоратор,"Здравствуйте, подскажите пожалуйста, у вас есть промышленный перфоратор или может бур подойдет. Нужно в несущей стене проход сделать"
